time (s)	det(V)
3319.952895	-0.114957	
3319.954495	-0.123074	
3319.956143	-0.113567	
3319.957759	-0.116464	
3319.959384	-0.119852	
3319.961017	-0.136795	
3319.962645	-0.117660	
3319.964273	-0.145335	
3319.965764	-0.125072	
3319.967423	-0.121523	
3319.968904	-0.119912	
3319.970552	-0.113608	
3319.972035	-0.121568	
3319.973685	-0.123493	
3319.975172	-0.124593	
3319.976871	-0.112742	
3319.978369	-0.133882	
3319.980031	-0.109305	
3319.981552	-0.133101	
3319.983168	-0.121282	
3319.984726	-0.134390	
3319.986401	-0.120508	
3319.987980	-0.122929	
3319.989667	-0.111734	
3319.991253	-0.128585	
3319.992918	-0.113229	
3319.994501	-0.130652	
3319.996144	-0.113769	
3319.997745	-0.123384	
3319.999364	-0.109910	
3320.000996	-0.150036	
3320.002596	-0.113567	
3320.004263	-0.127002	
3320.005864	-0.117737	
3320.007521	-0.136742	
3320.009091	-0.115118	
3320.010798	-0.126958	
3320.012351	-0.112822	
3320.014056	-0.126047	
3320.015597	-0.117825	
3320.017309	-0.118144	
3320.018856	-0.118369	
3320.020585	-0.117322	
3320.022108	-0.111610	
3320.023861	-0.119602	
3320.025345	-0.112012	
3320.027122	-0.123602	
3320.028614	-0.107384	
3320.030412	-0.120742	
3320.031899	-0.106836	
3320.033657	-0.104782	
3320.035139	-0.122909	
3320.036932	-0.112661	
3320.038428	-0.117100	
3320.040025	-0.123392	
3320.041556	-0.113982	
3320.043108	-0.117253	
3320.044695	-0.125334	
3320.046303	-0.109950	
3320.047905	-0.122309	
3320.049469	-0.109366	
3320.051089	-0.110063	
3320.052615	-0.109289	
3320.054292	-0.130615	
3320.055767	-0.109620	
3320.057487	-0.111473	
3320.059049	-0.118409	
3320.060750	-0.130361	
3320.062317	-0.121306	
3320.064018	-0.130905	
3320.065580	-0.131755	
3320.067285	-0.118236	
3320.068795	-0.104326	
3320.070545	-0.112282	
3320.072036	-0.119437	
3320.073805	-0.111279	
3320.075285	-0.121781	
3320.077035	-0.120222	
3320.078527	-0.115239	
3320.080317	-0.116347	
3320.081800	-0.114603	
3320.083575	-0.119094	
3320.085060	-0.120782	
3320.086809	-0.103742	
3320.088317	-0.122555	
3320.090047	-0.102937	
3320.091572	-0.128585	
3320.093292	-0.114647	
3320.094824	-0.129854	
3320.096509	-0.115227	
3320.098061	-0.138104	
3320.099759	-0.110687	
3320.101320	-0.113406	
3320.103003	-0.097470	
3320.104582	-0.117334	
3320.106238	-0.103694	
3320.107854	-0.088604	
3320.109353	-0.124927	
3320.111000	-0.109946	
3320.112502	-0.124951	
3320.114129	-0.116250	
3320.115608	-0.122740	
3320.117255	-0.138354	
3320.118740	-0.121350	
3320.120375	-0.100282	
